scope,direction,transport,source_id,destination_id,route_class,estimate,ci_low,ci_high
comforting,induction,rms,layer_10.head_12,layer_12.head_12,earlier_to_later,-0.004393641090985395,-0.007212575968071229,-0.00220944383234151
comforting,induction,rms,layer_11.head_08,layer_09.head_04,later_to_earlier,-0.0072305998087965565,-0.015099625852260264,-0.0021609087721597905
comforting,induction,rms,layer_11.head_08,layer_09.head_11,later_to_earlier,0.007264234845738465,0.003848240759366957,0.011097626714644331
comforting,induction,rms,layer_11.head_08,layer_09.head_13,later_to_earlier,0.0008917253774632832,7.465093087149376e-05,0.0019022551226678004
comforting,induction,rms,layer_11.head_08,layer_10.head_02,later_to_earlier,0.00047792068747397673,-0.0006589715065405444,0.0015907531885570518
comforting,induction,rms,layer_11.head_08,layer_10.head_12,later_to_earlier,-0.019465029933240813,-0.03182629152436807,-0.009615863611843706
comforting,induction,rms,layer_11.head_08,layer_11.head_08,identity,0.039225381908764824,0.026318603256495002,0.053460049059646804
comforting,induction,rms,layer_11.head_08,layer_11.head_09,within_layer,0.023626396731329984,0.013762363080891193,0.03543550508171747
comforting,induction,rms,layer_11.head_08,layer_11.head_14,within_layer,0.004110846685484356,0.002401058156795609,0.0062189365822333574
comforting,induction,rms,layer_11.head_08,layer_11.head_15,within_layer,-0.0009213956517026495,-0.0018083635372022266,-0.0003402087978703649
comforting,induction,rms,layer_11.head_08,layer_12.head_02,earlier_to_later,-0.0020801323856977456,-0.0032876907624450964,-0.0010764737854370703
comforting,induction,rms,layer_11.head_08,layer_12.head_03,earlier_to_later,0.003992511819135632,0.0017285107696515761,0.007657133017663568
comforting,induction,rms,layer_11.head_08,layer_12.head_12,earlier_to_later,-0.0035157902718187615,-0.005578153647731677,-0.0018619788060659104
comforting,induction,rms,layer_11.head_09,layer_09.head_04,later_to_earlier,-0.006436156787740702,-0.013139689393774827,-0.002097649489284312
comforting,induction,rms,layer_11.head_09,layer_09.head_11,later_to_earlier,0.006646593218339218,0.0032685692680444987,0.010896599308890273
comforting,induction,rms,layer_11.head_09,layer_09.head_13,later_to_earlier,0.0007422762018972705,7.468401732944584e-05,0.0015400729942408977
comforting,induction,rms,layer_11.head_09,layer_10.head_02,later_to_earlier,0.0008662183151778112,0.00011655973508099143,0.0018514418962310693
comforting,induction,rms,layer_11.head_09,layer_10.head_12,later_to_earlier,-0.019128844234477103,-0.03239148557019878,-0.008885265243958324
comforting,induction,rms,layer_11.head_09,layer_11.head_08,within_layer,0.030734506906472916,0.019889208799830353,0.043345075440502964
comforting,induction,rms,layer_11.head_09,layer_11.head_09,identity,0.021233001646561927,0.011632812355959915,0.03388665473354532
comforting,induction,rms,layer_11.head_09,layer_11.head_14,within_layer,0.004042457695608874,0.0022359174040425763,0.0064116266612601475
comforting,induction,rms,layer_11.head_09,layer_11.head_15,within_layer,-0.0010338065967822924,-0.0023042611747221844,-0.0002561911973464197
comforting,induction,rms,layer_11.head_09,layer_12.head_02,earlier_to_later,-0.0015336918162888837,-0.0023425883295688484,-0.0008043284947117399
comforting,induction,rms,layer_11.head_09,layer_12.head_03,earlier_to_later,0.0041681774075025884,0.0018680890753458939,0.007677817725776759
comforting,induction,rms,layer_11.head_09,layer_12.head_12,earlier_to_later,-0.0033021322076291475,-0.005153215684483468,-0.0017519230442287347
comforting,induction,rms,layer_11.head_14,layer_09.head_04,later_to_earlier,-0.002520871283652459,-0.00536805413994535,-0.0001641103050909789
comforting,induction,rms,layer_11.head_14,layer_09.head_11,later_to_earlier,0.011673848990295445,0.005463878056326908,0.019629029547922554
comforting,induction,rms,layer_11.head_14,layer_09.head_13,later_to_earlier,0.0018818266933786792,0.0008168191994493885,0.0034399096229290513
comforting,induction,rms,layer_11.head_14,layer_10.head_02,later_to_earlier,0.002228065746769389,0.0009198736068342358,0.004010240201409211
comforting,induction,rms,layer_11.head_14,layer_10.head_12,later_to_earlier,-0.002576652412580347,-0.008183992866723023,0.0015967959359447733
comforting,induction,rms,layer_11.head_14,layer_11.head_08,within_layer,0.012131139400277812,0.006298724161852845,0.019987817776142676
comforting,induction,rms,layer_11.head_14,layer_11.head_09,within_layer,0.008282646847405241,0.004007050219254689,0.013923770130835464
