split_role,concept,mapping_id,mapping_class,direction,estimate,ci_low,ci_high
validation,confused,cross_15123,cross_layer,induction,0.06334781921839476,0.05275421285054488,0.0745833664346863
validation,confused,cross_15123,cross_layer,rescue,0.12215301640581473,0.11096617932630001,0.13397312164888156
validation,confused,cross_15124,cross_layer,induction,0.031239893994646096,0.027478493512408556,0.0348647838918173
validation,confused,cross_15124,cross_layer,rescue,0.08921828556772818,0.08081317730056688,0.09830267434975185
validation,confused,cross_15125,cross_layer,induction,0.010494626783392788,0.00538124884790138,0.016020417801135917
validation,confused,cross_15125,cross_layer,rescue,-0.003995941776805878,-0.011733367343183806,0.0035331364205179964
validation,confused,cross_15126,cross_layer,induction,0.0011584594319082936,-0.005407855108241397,0.006577491963683445
validation,confused,cross_15126,cross_layer,rescue,0.01390575226207649,0.005073122135739936,0.021777937770820086
validation,confused,cross_15127,cross_layer,induction,0.049374099247310184,0.03962867249825232,0.059112474894515814
validation,confused,cross_15127,cross_layer,rescue,0.06630334339507835,0.05582436718757835,0.07664893845378266
validation,confused,cross_15128,cross_layer,induction,0.0917786110474181,0.07607847731384415,0.10759848991426713
validation,confused,cross_15128,cross_layer,rescue,0.12923084708747157,0.11839998808619943,0.1408759864267062
validation,confused,cross_15129,cross_layer,induction,0.050319995067854166,0.0419219887845865,0.058646614891416975
validation,confused,cross_15129,cross_layer,rescue,0.07963691967778816,0.0739957752926049,0.08673866305322844
validation,confused,cross_15130,cross_layer,induction,0.06076590662683425,0.04899240374296736,0.0726520593889156
validation,confused,cross_15130,cross_layer,rescue,0.08279654070285625,0.07496599871986345,0.09252284432930867
validation,confused,cross_15131,cross_layer,induction,0.09589835216878997,0.08189376674154945,0.11014886846870404
validation,confused,cross_15131,cross_layer,rescue,0.21480249755491593,0.20076153763984222,0.23077831077768823
validation,confused,cross_15132,cross_layer,induction,0.025912448332056096,0.019689678855164542,0.03234254783615146
validation,confused,cross_15132,cross_layer,rescue,0.05165102462119006,0.043477480222501905,0.05993668402195463
validation,finnish,within_15001,within_layer,induction,0.3340835925236749,0.27985242391920706,0.38854167995617306
validation,finnish,within_15001,within_layer,rescue,0.5080203941085318,0.40927840282335526,0.6020937021602113
validation,finnish,within_15002,within_layer,induction,0.27763693845900744,0.23948709005157273,0.3182850190700129
validation,finnish,within_15002,within_layer,rescue,0.4504059068284547,0.3505789594548685,0.5453764257592897
validation,finnish,within_15003,within_layer,induction,0.2680670482420176,0.2307114987904127,0.30772948126596955
validation,finnish,within_15003,within_layer,rescue,0.4413325345444988,0.34212004898136034,0.5369328692139661
validation,finnish,within_15004,within_layer,induction,0.4528379638587591,0.3799844869436098,0.5365318690842553
validation,finnish,within_15004,within_layer,rescue,0.6511407732574989,0.5899729937207957,0.7088334943071007
validation,finnish,within_15005,within_layer,induction,0.11537133083649209,0.08404477128146311,0.14616960917265706
validation,finnish,within_15005,within_layer,rescue,0.21902561550404134,0.16738389041704496,0.26534874918337803
validation,finnish,within_15006,within_layer,induction,0.15367678143170482,0.12142127707650135,0.18421674966664547
validation,finnish,within_15006,within_layer,rescue,0.2634732140964988,0.20418047442838658,0.3165642715578722
validation,finnish,within_15007,within_layer,induction,0.04020381023034082,0.026253674727726942,0.05666244144154463
validation,finnish,within_15007,within_layer,rescue,0.1385466443354793,0.10136259929473573,0.17819929904248766
validation,finnish,within_15008,within_layer,induction,0.15748813402606074,0.124241150700017,0.1888148223166458
validation,finnish,within_15008,within_layer,rescue,0.267098132222814,0.2070037671028685,0.32105104535133316
