scope,split_role,mapping_id,mapping_class,size,direction,additive_pair_prediction,estimate,ci_low,ci_high
HTML,development,cross_15122,cross_layer,8,induction,0.030847576396342943,0.02795809622681881,0.01827719569173079,0.03917403817639991
HTML,development,cross_15122,cross_layer,8,rescue,0.08035623694366306,0.23124227500373792,0.21396920974881342,0.24934279485248217
HTML,development,cross_15122,cross_layer,12,induction,0.03476720733008149,0.048840851694057545,0.03290501188112202,0.06768823059870346
HTML,development,cross_15122,cross_layer,12,rescue,0.09385078412750204,0.28300175396450145,0.2647638015118038,0.30244165516952703
biology-focused,development,within_15015,within_layer,1,induction,-0.0001245526259881786,-0.0003317061734797729,-0.0011066522009132863,0.00037253023987684906
biology-focused,development,within_15015,within_layer,1,rescue,-0.0014812923154855053,-0.00409416259761835,-0.005579778573206335,-0.0025724712622751237
biology-focused,development,within_15015,within_layer,2,induction,0.005038554495120488,0.0002305215516842909,-0.0005040869999571924,0.0010093863387103782
biology-focused,development,within_15015,within_layer,2,rescue,0.0004428312879916855,-0.0027811962865765495,-0.004604416361345342,-0.0009561006227810578
biology-focused,development,within_15015,within_layer,4,induction,0.006075521702640616,0.006203802852736748,0.004236387967613859,0.008328795677595485
biology-focused,development,within_15015,within_layer,4,rescue,0.016263437859475635,0.027204578733123784,0.024005888440177578,0.030717597373975395
biology-focused,development,within_15015,within_layer,8,induction,0.25269844432408073,0.2882291071781941,0.25494121492817107,0.32187242358697854
biology-focused,development,within_15015,within_layer,8,rescue,0.3603375770015731,0.5291527093594409,0.5018511681917062,0.5580533630595209
biology-focused,development,within_15015,within_layer,12,induction,0.2912938011433939,0.3410637527658943,0.3038722054952065,0.3781757932876467
biology-focused,development,within_15015,within_layer,12,rescue,0.38132733176012024,0.5834940107651659,0.557371885789106,0.6108472189275999
biology-focused,development,within_15004,within_layer,1,induction,0.003120197757684004,0.0017899162821336347,0.0008142200068949463,0.002738080396049206
biology-focused,development,within_15004,within_layer,1,rescue,0.01256835962802029,0.005286058907393272,0.003431372607213793,0.007333511988312759
biology-focused,development,within_15004,within_layer,2,induction,0.005052646230671997,0.003731382153432027,0.0024942042745899995,0.0050718487007321775
biology-focused,development,within_15004,within_layer,2,rescue,0.014948228901561646,0.005480314380107798,0.0033036425573729246,0.007816680345220607
biology-focused,development,within_15004,within_layer,4,induction,0.006005674702235128,0.007615984272690589,0.0054255422951442955,0.010150284862811674
biology-focused,development,within_15004,within_layer,4,rescue,0.019599358835582673,0.009798159078838293,0.007301473904944965,0.012494082647722499
biology-focused,development,within_15004,within_layer,8,induction,0.25262859732367526,0.26935539204993036,0.23732553254127092,0.30208642833463234
biology-focused,development,within_15004,within_layer,8,rescue,0.3636734979776801,0.5019265724770942,0.4760208842919725,0.5305754378538113
biology-focused,development,within_15004,within_layer,12,induction,0.2895333940700558,0.2847986082019615,0.25368292050830976,0.3158325932632348
biology-focused,development,within_15004,within_layer,12,rescue,0.38758785596112627,0.5094595572171767,0.47486151644624497,0.5454762596126733
biology-focused,development,cross_15130,cross_layer,1,induction,0.003512548529168123,0.005352020837360156,0.003482704354252308,0.007440578651992327
biology-focused,development,cross_15130,cross_layer,1,rescue,0.0224973494206311,0.010213064607922167,0.007689849074857351,0.013011667261962899
biology-focused,development,cross_15130,cross_layer,2,induction,0.0019211350076333061,0.00167566539017583,0.0004743904059238512,0.003165642115922061
biology-focused,development,cross_15130,cross_layer,2,rescue,0.020452560577670635,-0.008201200018217157,-0.01050011194481543,-0.005822252020353598
biology-focused,development,cross_15130,cross_layer,4,induction,0.012925696992307723,0.012562232808086743,0.008262161738217385,0.017416584628293732
biology-focused,development,cross_15130,cross_layer,4,rescue,0.035468751634690675,0.0042875721130980066,-0.0016058717014716753,0.009628207878732673
biology-focused,development,cross_15130,cross_layer,8,induction,0.019708555554596042,0.037417356170273156,0.02711980625505757,0.04893667463597715
biology-focused,development,cross_15130,cross_layer,8,rescue,0.05529425950276232,0.03382188476433724,0.02773759399861849,0.040336333434872286
