scope,source_group,layer,earliest_positive_ci_layer,peak_layer,fraction,fraction_ci_low,fraction_ci_high
all_benign,template,1,11,12,-8.646674685612758e-05,-0.0003097347081218595,9.812042508281147e-05
all_benign,template,2,11,12,-0.00024039960768233222,-0.000520290195524694,-1.2590982115182148e-05
all_benign,template,3,11,12,-0.0001953620035976987,-0.00035991567830955353,-5.562387624000898e-05
all_benign,template,4,11,12,-0.00017344199879550034,-0.0005043825687396246,7.447660884904705e-05
all_benign,template,5,11,12,-0.00021836643940098083,-0.000445687552611846,-2.8376050014963543e-05
all_benign,template,6,11,12,0.0005915776154245279,-0.00023914474833439068,0.001306965184672239
all_benign,template,7,11,12,-0.00012612366987961457,-0.0004114415200335403,0.00014486846313920034
all_benign,template,8,11,12,-0.0005808718918209569,-0.0009179259517079683,-0.00026627641731107716
all_benign,template,9,11,12,-0.0003098718246556621,-0.0012051392835681282,0.0006261499942742227
all_benign,template,10,11,12,-0.000144386137500416,-0.0014205490340194363,0.0009822406268676393
all_benign,template,11,11,12,0.0056358138302654405,0.00407190934270914,0.007274990713139274
all_benign,template,12,11,12,0.006150446791565221,0.0051593290950581435,0.007254810139582725
all_benign,response,0,6,11,-0.00013645174546664886,-0.00043482526247209263,0.00012305819784492488
all_benign,response,1,6,11,-0.0002793237310072584,-0.0005389579209419905,-4.630363911799459e-05
all_benign,response,2,6,11,-0.00026238503987161964,-0.00048811886279369045,-7.97858600197651e-05
all_benign,response,3,6,11,-0.00045333046943741537,-0.0006989490728420015,-0.0002452444052305496
all_benign,response,4,6,11,-0.0005460468410500984,-0.0009277931524436953,-0.00018975775785455418
all_benign,response,5,6,11,-0.0009709823102768404,-0.00149327084482152,-0.00053140909862514
all_benign,response,6,6,11,0.0021908002338725404,0.001358595833700538,0.002920599498208017
all_benign,response,7,6,11,0.0005549454979239765,-0.0016350205916320468,0.0026003096659326817
all_benign,response,8,6,11,0.0068293266665845846,0.004408285992933031,0.009584634612051024
all_benign,response,9,6,11,0.009359194861237792,0.005740989316795395,0.012737360877589442
all_benign,response,10,6,11,-0.00553393673279986,-0.008758238912758837,-0.0029010231576353895
all_benign,response,11,6,11,0.07711141154458641,0.07034056121247016,0.08371230697874425
all_benign,response,12,6,11,0.06320819147795519,0.056801066768957534,0.06992767354892293
all_benign,trigger_instruction,0,1,11,-0.0005503351959064017,-0.0009706962743266281,-0.00013594982564418647
all_benign,trigger_instruction,1,1,11,0.0016321320908164974,0.0011139896801241576,0.0021977806371097264
all_benign,trigger_instruction,2,1,11,-0.00013780410017516227,-0.0003443747020584551,3.139463754190264e-05
all_benign,trigger_instruction,3,1,11,0.0019631950692597087,0.0012183535021296245,0.0027994698635428754
all_benign,trigger_instruction,4,1,11,0.0031279976594562886,0.0019709542591293053,0.004541274779678611
all_benign,trigger_instruction,5,1,11,0.0011779424778352212,0.000669327361744758,0.0019084603623770332
all_benign,trigger_instruction,6,1,11,0.06357137090357558,0.05310389890145978,0.07218445642438757
all_benign,trigger_instruction,7,1,11,0.007948065167798356,0.006188662004189189,0.010207472241063748
all_benign,trigger_instruction,8,1,11,0.060410458134475147,0.05318763656981304,0.06921724457701404
all_benign,trigger_instruction,9,1,11,0.041032931808648726,0.03539049579446757,0.04653314799899423
all_benign,trigger_instruction,10,1,11,0.11512484744256217,0.1054101646572049,0.12472247944796787
all_benign,trigger_instruction,11,1,11,0.2079983849004894,0.19363078481276239,0.22343865029256332
all_benign,trigger_instruction,12,1,11,0.05400837206234081,0.04904357396640002,0.05991285479508239
