scope,grid,direction,layer,label,component_type,contrast,control,estimate,ci_low,ci_high
validation,correct,rescue,10,1,,attention_minus_mlp,,0.04012715842345125,0.032609406913477856,0.047062189095389916
validation,correct,rescue,10,1,,block_minus_attention,,0.4860939288811926,0.47580041232123266,0.4962034821497417
validation,correct,rescue,10,1,,block_minus_mlp,,0.5262210873046439,0.5153992177404976,0.5367078110466582
validation,correct,rescue,10,1,,block_minus_branch_sum,,0.447697718903305,0.43659610721281245,0.45837012935455096
validation,correct,rescue,10,0,,attention_minus_mlp,,0.013327373985260205,0.01049542583909715,0.016230393080807076
validation,correct,rescue,10,0,,block_minus_attention,,0.028702173636068765,0.02219285649887475,0.03657520495128179
validation,correct,rescue,10,0,,block_minus_mlp,,0.04202954762132897,0.03417952268087795,0.05114526381020456
validation,correct,rescue,10,0,,block_minus_branch_sum,,0.029429321670271118,0.023687761779019465,0.036594168762381245
validation,correct,rescue,9,1,,attention_minus_mlp,,0.04130955939468688,0.03787106574165591,0.044960868013546505
validation,correct,rescue,9,1,,block_minus_attention,,0.2694161088724198,0.25998313926950023,0.27876636741221583
validation,correct,rescue,9,1,,block_minus_mlp,,0.3107256682671067,0.3004166183079972,0.321187016932201
validation,correct,rescue,9,1,,block_minus_branch_sum,,0.26564391092766715,0.2555218079813071,0.2761161688230116
validation,correct,rescue,9,0,,attention_minus_mlp,,0.005547913751268913,0.004025200923887002,0.007196053317332014
validation,correct,rescue,9,0,,block_minus_attention,,0.009202908938211454,0.004766430700988356,0.01415584157564762
validation,correct,rescue,9,0,,block_minus_mlp,,0.014750822689480367,0.010001650723710186,0.01995088734886786
validation,correct,rescue,9,0,,block_minus_branch_sum,,0.013011319408810307,0.007762737220908156,0.018750795806393532
validation,correct,induction,12,1,,attention_minus_mlp,,0.046828283712440216,0.039980270111174235,0.05376612162821907
validation,correct,induction,12,1,,block_minus_attention,,0.8569601960942639,0.8493977450613219,0.864050522950819
validation,correct,induction,12,1,,block_minus_mlp,,0.9037884798067041,0.8968943100083351,0.9101951124455598
validation,correct,induction,12,1,,block_minus_branch_sum,,0.760748675900968,0.7480849634884817,0.7724574144410147
validation,correct,induction,12,0,,attention_minus_mlp,,0.043728807684108376,0.038231301276772746,0.04922012914060767
validation,correct,induction,12,0,,block_minus_attention,,0.0919523616169238,0.07852890450045943,0.10708281752636509
validation,correct,induction,12,0,,block_minus_mlp,,0.1356811693010322,0.12166219665016687,0.15106543331852315
validation,correct,induction,12,0,,block_minus_branch_sum,,0.08421314431687964,0.07252670789684212,0.09724159916005072
validation,correct,induction,11,1,,attention_minus_mlp,,0.18196328074229937,0.1752117400699505,0.18903124212470293
validation,correct,induction,11,1,,block_minus_attention,,0.6003697683473976,0.5913981414507572,0.6090327409315258
validation,correct,induction,11,1,,block_minus_mlp,,0.782333049089697,0.7755028465291927,0.7888478972660964
validation,correct,induction,11,1,,block_minus_branch_sum,,0.475409435470757,0.4609030403583614,0.48911856210792026
validation,correct,induction,11,0,,attention_minus_mlp,,0.04542040168419255,0.03939288985392101,0.05208677050803103
validation,correct,induction,11,0,,block_minus_attention,,0.053180382032415714,0.04366448842996295,0.0637687754353158
validation,correct,induction,11,0,,block_minus_mlp,,0.09860078371660826,0.08643939190895121,0.11165508991666
validation,correct,induction,11,0,,block_minus_branch_sum,,0.03678670921634804,0.02900092442940909,0.0451974339300808
validation,correct,induction,10,1,,attention_minus_mlp,,0.13013355125385387,0.1242942668570695,0.13646384210404444
validation,correct,induction,10,1,,block_minus_attention,,0.4908217097493927,0.4811072883106852,0.5006587497538517
validation,correct,induction,10,1,,block_minus_mlp,,0.6209552610032466,0.6104736582906859,0.6318972804827808
validation,correct,induction,10,1,,block_minus_branch_sum,,0.4443606332986425,0.4314497699528781,0.4573536547784584
validation,correct,induction,10,0,,attention_minus_mlp,,0.031320931437370324,0.02727103399421181,0.035623895587558366
validation,correct,induction,10,0,,block_minus_attention,,0.038970115557346294,0.031468721149515565,0.04710722447534447
validation,correct,induction,10,0,,block_minus_mlp,,0.07029104699471661,0.060426255092777915,0.08101261914119719
validation,correct,induction,10,0,,block_minus_branch_sum,,0.03825693411411309,0.03134838777407391,0.04562918332445151
validation,correct,induction,9,1,,attention_minus_mlp,,0.08546526605799915,0.08047106925886373,0.09088197659608765
validation,correct,induction,9,1,,block_minus_attention,,0.3117403680618658,0.3034278573543495,0.3203546728110985
validation,correct,induction,9,1,,block_minus_mlp,,0.397205634119865,0.3882675940095357,0.40676066780203163
validation,correct,induction,9,1,,block_minus_branch_sum,,0.17910392316313126,0.16939656315200038,0.188623058398707
validation,correct,induction,9,0,,attention_minus_mlp,,0.016858757597418284,0.014287699778192135,0.019793854782645313
validation,correct,induction,9,0,,block_minus_attention,,0.024119532997405248,0.017532336970029646,0.03144201785739142
validation,correct,induction,9,0,,block_minus_mlp,,0.04097829059482353,0.03347571469477451,0.04913416256498575
