concept,label,probe_role,source_condition,token_control,mapping_id,normalized_effect,ci_low,ci_high,source_destination_rms_ratio,delta_destination_natural_rms_ratio,patched_destination_rms_ratio
deception,0,other_safety,correct_trigger,reverse_valid_response_tokens,day14_seed_211_heads,0.016988915038049914,0.008984056789773482,0.025010540326803308,1.4049269706010818,1.7099653482437134,1.4743804335594177
deception,0,target,correct_trigger,reverse_valid_response_tokens,day14_seed_223_heads,0.04035979200543856,0.024582645447416306,0.05882349791729347,1.3089557066559792,1.422021359205246,1.4848917126655579
deception,0,other_safety,correct_trigger,reverse_valid_response_tokens,day14_seed_223_heads,-0.09184536216880143,-0.10821357170629481,-0.07597714888094999,1.3089557066559792,1.422021359205246,1.4848917126655579
deception,0,target,correct_trigger,reverse_valid_response_tokens,within_15004,0.09910830957341987,0.06347515462087024,0.13868940949212727,1.3420878648757935,1.1905636191368103,1.420586384832859
deception,0,other_safety,correct_trigger,reverse_valid_response_tokens,within_15004,0.025870939058967774,0.01127833920151845,0.04541656208117077,1.3420878648757935,1.1905636191368103,1.420586384832859
deception,0,target,correct_trigger,reverse_valid_response_tokens,within_15015,0.08288287917933027,0.05376124270888002,0.11569593243159211,1.3167257606983185,1.1732852756977081,1.3553693890571594
deception,0,other_safety,correct_trigger,reverse_valid_response_tokens,within_15015,-0.000559118911233087,-0.016331135952223075,0.01528300504297511,1.3167257606983185,1.1732852756977081,1.3553693890571594
deception,0,target,irrelevant_concept,aligned,cross_15122,0.03938912363675537,0.024000706087626635,0.056327914432271045,1.6118454784154892,2.189567357301712,1.7127522975206375
deception,0,other_safety,irrelevant_concept,aligned,cross_15122,-0.021855016599679974,-0.031209016478407334,-0.01276237302891729,1.6118454784154892,2.189567357301712,1.7127522975206375
deception,0,target,irrelevant_concept,aligned,cross_15130,0.039431797133922475,0.02570519138534893,0.05536947346143034,1.7465477734804153,2.356986552476883,1.86460829526186
deception,0,other_safety,irrelevant_concept,aligned,cross_15130,-0.0324566842804379,-0.04072866020689003,-0.02372440817466477,1.7465477734804153,2.356986552476883,1.86460829526186
deception,0,target,irrelevant_concept,aligned,day14_seed_211_heads,-0.018235354226445812,-0.035773195623771736,-0.003612089511930094,1.7076129913330078,2.2470827922225,1.7845987901091576
deception,0,other_safety,irrelevant_concept,aligned,day14_seed_211_heads,0.04331451431394753,0.030458889838328975,0.05853579575074637,1.7076129913330078,2.2470827922225,1.7845987901091576
deception,0,target,irrelevant_concept,aligned,day14_seed_223_heads,-0.02047860403940409,-0.0362943623496288,-0.005616934514257412,1.6653927564620972,2.1838032007217407,1.8354938477277756
deception,0,other_safety,irrelevant_concept,aligned,day14_seed_223_heads,-0.01390166425414071,-0.021810832178577974,-0.00605719105058527,1.6653927564620972,2.1838032007217407,1.8354938477277756
deception,0,target,irrelevant_concept,aligned,within_15004,-0.06749885415008611,-0.09665848153201836,-0.04118369521002628,1.5841618552803993,1.7444629520177841,1.6410167440772057
deception,0,other_safety,irrelevant_concept,aligned,within_15004,0.06813566017018345,0.0484033830906113,0.08861219605840394,1.5841618552803993,1.7444629520177841,1.6410167440772057
