split,concept,group_id,group_role,set_size,label,n_examples,patched_mean,triggered_mean,fraction,ci_low,ci_high,raw_score_change,positive_example_fraction
discovery,comforting,selected_k2,selected_prefix,2,1,64,0.24267909000627697,0.046892566204178365,0.220855058995022,0.1964031212770398,0.2455037859849677,0.1957865238020986,1.0
discovery,comforting,selected_k2,selected_prefix,2,0,64,0.004564308999277955,0.001518799897063161,0.003435456533869545,0.001359923312763387,0.006180934529239655,0.003045509102214794,1.0
discovery,comforting,selected_k4,selected_prefix,4,1,64,0.8083909968845546,0.046892566204178365,0.8590008013142346,0.8385863305371158,0.8782622516064085,0.7614984306803763,1.0
discovery,comforting,selected_k4,selected_prefix,4,0,64,0.07022642969968729,0.001518799897063161,0.07750496478912422,0.053804880377812454,0.10656799617305,0.06870762980262413,1.0
discovery,comforting,selected_k8,selected_prefix,8,1,64,0.8752796966582537,0.046892566204178365,0.934453940007033,0.9211631817035203,0.9466281359597278,0.8283871304540753,1.0
discovery,comforting,selected_k8,selected_prefix,8,0,64,0.06713075063635188,0.001518799897063161,0.07401291452496161,0.047099954947885526,0.10773337491688657,0.06561195073928872,1.0
discovery,comforting,selected_k16,selected_prefix,16,1,64,0.9241206850856543,0.046892566204178365,0.9895485357485256,0.9865045680884926,0.9922597587150802,0.8772281188814759,1.0
discovery,comforting,selected_k16,selected_prefix,16,0,64,0.10314582161299768,0.001518799897063161,0.11463936046613908,0.07818460994898714,0.15874271642413723,0.10162702171593452,1.0
discovery,comforting,random_k1,random_prefix,1,1,64,0.04668293187154404,0.046892566204178365,-0.00023647594329901075,-0.0005485264963575266,6.113588555449913e-05,-0.00020963433263432307,0.515625
discovery,comforting,random_k1,random_prefix,1,0,64,0.0014898858555092431,0.001518799897063161,-3.261619967076928e-05,-6.861204438098557e-05,-1.509285643151125e-06,-2.891404155391797e-05,0.40625
discovery,comforting,random_k2,random_prefix,2,1,64,0.04941855538220352,0.046892566204178365,0.002849417202470159,0.002106126761828289,0.0036507877439925524,0.0025259891780251564,0.953125
discovery,comforting,random_k2,random_prefix,2,0,64,0.0015802442693910734,0.001518799897063161,6.93117187631875e-05,1.0203836289189043e-05,0.00016601924147241384,6.144437232791233e-05,0.75
discovery,comforting,random_k4,random_prefix,4,1,64,0.048512343096092536,0.046892566204178365,0.0018271733624734955,0.0012585171287024337,0.00246521835537386,0.0016197768919141708,0.84375
discovery,comforting,random_k4,random_prefix,4,0,64,0.0015428556440895136,0.001518799897063161,2.713584840009023e-05,-1.3834019468660077e-05,8.121154780907957e-05,2.4055747026352492e-05,0.75
discovery,comforting,random_k8,random_prefix,8,1,64,0.04944067322588808,0.046892566204178365,0.0028743670181006395,0.002139610613084297,0.0036728254745487135,0.0025481070217097113,0.953125
discovery,comforting,random_k8,random_prefix,8,0,64,0.0015939613421878107,0.001518799897063161,8.478512757055074e-05,2.2116188006648786e-05,0.00017832737992810622,7.516144512464962e-05,0.859375
discovery,comforting,random_k16,random_prefix,16,1,64,0.05171990555066941,0.046892566204178365,0.00544543258368451,0.004198749848507689,0.006780422463031629,0.004827339346491044,0.984375
discovery,comforting,random_k16,random_prefix,16,0,64,0.0016782454637223054,0.001518799897063161,0.0001798610003750553,5.748466658443262e-05,0.00037992685940675176,0.00015944556665914433,0.84375
discovery,comforting,all_layer11_components,full_relevant_block,17,1,64,0.3497630456695333,0.046892566204178365,0.34165006003061066,0.30619086310592114,0.3774909560795788,0.30287047946535495,1.0
discovery,comforting,all_layer11_components,full_relevant_block,17,0,64,0.007622577443726186,0.001518799897063161,0.006885306118021507,0.0029066133545476544,0.012115144141459337,0.006103777546663025,1.0
discovery,comforting,control_outside_layer11_k17,full_block_control,17,1,64,0.05144853592787513,0.046892566204178365,0.005139316754628426,0.003746306093063468,0.0066460781138468214,0.004555969723696762,0.953125
discovery,comforting,control_outside_layer11_k17,full_block_control,17,0,64,0.0016277357621490296,0.001518799897063161,0.00012288402921200117,2.4049719876554102e-05,0.0002800666343403745,0.0001089358650858685,0.8125
discovery,comforting,resid_post_layer12_positive_control,positive_control,1,1,64,0.9333858378231525,0.046892566204178365,1.0,1.0,1.0,0.8864932716189742,1.0
discovery,comforting,resid_post_layer12_positive_control,positive_control,1,0,64,0.09448724342655623,0.001518799897063161,0.10487213666011,0.0689249976170239,0.1489339851118483,0.09296844352949307,1.0
validation,confused,selected_k1,selected_prefix,1,1,64,0.29274510918185115,0.24052626604679972,0.0773983902218961,0.0694080571255336,0.08533224260375337,0.05221884313505143,1.0
validation,confused,selected_k1,selected_prefix,1,0,64,0.09137884094525361,0.08940902236645343,0.002919650797969894,-0.0008029090185947194,0.006783956627328453,0.0019698185788001865,0.5
validation,confused,selected_k2,selected_prefix,2,1,64,0.38397242268547416,0.24052626604679972,0.21261485204943006,0.20073198192119382,0.22435957550195673,0.14344615663867444,1.0
validation,confused,selected_k2,selected_prefix,2,0,64,0.12452579059754498,0.08940902236645343,0.05204981894854518,0.0420616078238793,0.06280811812183354,0.035116768231091555,0.96875
validation,confused,selected_k4,selected_prefix,4,1,64,0.5432524769566953,0.24052626604679972,0.448698592226617,0.4316200358451033,0.465881522221869,0.3027262109098956,1.0
validation,confused,selected_k4,selected_prefix,4,0,64,0.18842325152945705,0.08940902236645343,0.14675817169021724,0.12325767528503219,0.17209098993063537,0.09901422916300362,1.0
validation,confused,selected_k8,selected_prefix,8,1,64,0.6373727037571371,0.24052626604679972,0.5882029091421354,0.5701147756899717,0.60564851436276,0.39684643771033734,1.0
validation,confused,selected_k8,selected_prefix,8,0,64,0.20013995564659126,0.08940902236645343,0.1641245854774222,0.13499692212004644,0.19504128926862385,0.11073093328013783,1.0
validation,confused,selected_k16,selected_prefix,16,1,64,0.7932832716032863,0.24052626604679972,0.819292421000234,0.8061143406466414,0.8319935425116737,0.5527570055564865,1.0
validation,confused,selected_k16,selected_prefix,16,0,64,0.29237690701847896,0.08940902236645343,0.30083752522402174,0.2553745337402628,0.3477584861349855,0.20296788465202553,1.0
validation,confused,random_k1,random_prefix,1,1,64,0.2333856988698244,0.24052626604679972,-0.010583696834107464,-0.011918705923970044,-0.00931056855386741,-0.00714056717697531,0.0
validation,confused,random_k1,random_prefix,1,0,64,0.08850323265505722,0.08940902236645343,-0.001342554934821297,-0.0023940103391288936,-0.0003121228470628159,-0.0009057897113962099,0.4375
validation,confused,random_k2,random_prefix,2,1,64,0.23504176980350167,0.24052626604679972,-0.008129080518146717,-0.009527092825534052,-0.0068534608944931285,-0.005484496243298054,0.015625
validation,confused,random_k2,random_prefix,2,0,64,0.08868162358703557,0.08940902236645343,-0.0010781451904384193,-0.002032818605893995,-0.00013468538736733081,-0.0007273987794178538,0.453125
validation,confused,random_k4,random_prefix,4,1,64,0.23241615993902087,0.24052626604679972,-0.012020740399158824,-0.013580253189477101,-0.010579172766523037,-0.008110106107778847,0.0
validation,confused,random_k4,random_prefix,4,0,64,0.08588213559414726,0.08940902236645343,-0.005227525971140566,-0.007164667968472624,-0.0033129091524325424,-0.0035268867723061703,0.359375
validation,confused,random_k8,random_prefix,8,1,64,0.23739234416279942,0.24052626604679972,-0.004645076266348355,-0.006189591872112964,-0.0031851336665096874,-0.0031339218840003014,0.25
validation,confused,random_k8,random_prefix,8,0,64,0.087393893947592,0.08940902236645343,-0.0029868087139903903,-0.004746531883301222,-0.0012642916444130907,-0.0020151284188614227,0.390625
validation,confused,random_k16,random_prefix,16,1,64,0.2306470142211765,0.24052626604679972,-0.014642955339366921,-0.016899231416212884,-0.012480984399553445,-0.009879251825623214,0.03125
validation,confused,random_k16,random_prefix,16,0,64,0.0862665948952781,0.08940902236645343,-0.004657683185914463,-0.006300433017586042,-0.0030220650337238935,-0.003142427471175324,0.328125
validation,confused,all_layer11_components,full_relevant_block,17,1,64,0.5538020478561521,0.24052626604679972,0.46433508963116465,0.4476682849628471,0.4810342635174012,0.31327578180935234,1.0
validation,confused,all_layer11_components,full_relevant_block,17,0,64,0.18719437810068484,0.08940902236645343,0.14493674441486676,0.12330480220073696,0.1669695397103409,0.09778535573423142,1.0
validation,confused,control_outside_layer11_k17,full_block_control,17,1,64,0.22900438320357352,0.24052626604679972,-0.01707765110928692,-0.019843091049633867,-0.014384655847645852,-0.011521882843226194,0.046875
validation,confused,control_outside_layer11_k17,full_block_control,17,0,64,0.08529129606904462,0.08940902236645343,-0.0061032640261592126,-0.008507882485170655,-0.0037783197590633,-0.004117726297408808,0.359375
validation,confused,resid_post_layer12_positive_control,positive_control,1,1,64,0.9152023540809751,0.24052626604679972,1.0,1.0,1.0,0.6746760880341753,1.0
validation,confused,resid_post_layer12_positive_control,positive_control,1,0,64,0.39349339532782324,0.08940902236645343,0.45071165015998993,0.38451012748982666,0.5188454322479288,0.3040843729613698,1.0
validation,finnish,selected_k1,selected_prefix,1,1,64,0.5464101255638525,0.23285730302380614,0.5027278665538956,0.46442007286477144,0.5391219289870866,0.31355282254004635,1.0
validation,finnish,selected_k1,selected_prefix,1,0,64,0.020039287164479447,0.011737761058962626,0.013310065188888298,0.008921806031620193,0.018498519239087578,0.008301526105516821,1.0
